date,open,high,low,close,volume
2025-11-20,6737.93,6770.35,6534.05,6538.76,5596080000
2025-11-21,6555.77,6660.05,6521.92,6602.99,5929930000
2025-11-24,6636.54,6715.75,6630.7,6705.12,6039740000
2025-11-25,6697.03,6776.4,6659.98,6765.88,5003330000
2025-11-26,6793.55,6831.44,6783.87,6812.61,4485000000
2025-11-28,6822.52,6850.86,6819.75,6849.09,2558540000
2025-12-01,6812.3,6843.65,6799.94,6812.63,4549370000
2025-12-02,6830.96,6851.55,6806.71,6829.37,4582290000
2025-12-03,6815.29,6862.42,6810.43,6849.72,4736780000
2025-12-04,6866.47,6866.47,6827.12,6857.12,4872440000
2025-12-05,6866.32,6895.78,6858.29,6870.4,4944560000
2025-12-08,6875.2,6878.27,6827.19,6846.51,4757130000
2025-12-09,6840.61,6864.92,6837.43,6840.51,4508050000
2025-12-10,6833.49,6900.67,6824.69,6886.68,5526570000
2025-12-11,6861.3,6903.46,6833.45,6901.0,5021060000
2025-12-12,6886.85,6899.85,6801.79,6827.41,4910160000
2025-12-15,6860.19,6861.59,6801.49,6816.51,4975600000
2025-12-16,6800.12,6819.27,6759.74,6800.26,4983180000
2025-12-17,6802.88,6812.26,6720.43,6721.43,5122120000
2025-12-18,6778.06,6816.13,6758.5,6774.76,5101190000
2025-12-19,6792.62,6840.02,6792.62,6834.5,8554470000
2025-12-22,6865.21,6882.03,6855.74,6878.49,4465030000
2025-12-23,6872.41,6910.88,6868.81,6909.79,3820560000
2025-12-24,6904.91,6937.32,6904.91,6932.05,1798270000
2025-12-26,6936.02,6945.77,6921.6,6929.94,2586550000
2025-12-29,6903.6,6920.21,6888.76,6905.74,3541750000
2025-12-30,6900.44,6913.25,6893.47,6896.24,3309930000
2025-12-31,6898.82,6901.42,6844.55,6845.5,3261830000
2026-01-02,6878.11,6894.87,6824.31,6858.47,4184120000
2026-01-05,6892.19,6920.38,6891.56,6902.05,5771930000
2026-01-06,6908.03,6948.69,6904.02,6944.82,5509680000
2026-01-07,6945.07,6965.69,6919.19,6920.93,5214480000
2026-01-08,6914.11,6931.28,6899.33,6921.46,5333200000
2026-01-09,6927.83,6978.36,6917.64,6966.28,5163900000
2026-01-12,6944.12,6986.33,6934.07,6977.27,5019040000
2026-01-13,6977.41,6985.83,6938.77,6963.74,5091730000
